пониззя річки Дністер та Дністровський лиман																																	
Вид лоту	Кількість лотів	ДОГОВІР			Дозвіл		% від загального ліміту	Загальний обсяг лімітованих і прогнозних видів водного біоресурсу	Види водних біоресурсів, які включені до договору														Знаряддя лову, які включені до договору								Ідентифікаційні номера бирок	Кількість риболовних суден	Назва судна/Бортовий номер судна
									Оселедець чорноморський Alosa immaculata	Лящ Abramis brama	Сазан Cyprinus carpio	Судак звичайний Sander lucioperca	Карась сріблястий Carassius gibelio	Сом європейський Silurus glanis	Щука звичайна Esox lucius	Білизна звичайна Aspius aspius	Краснопірка Scardinius erythrophthalmus	Рослиноїдні (білий, строкатий товстолоби, їх гібрид) Hypophthalmichthys molitrix Hypophthalmichthys nobilis Ctenopharyngodon idella	Плоскирка  Blicca bjoerkna	Тараня (плітка звичайна)  Rutilus heckelii Rutilus rutilus	Окунь звичайний Perca fluviatilis	Бички (крім видів, занесених до Червоної книги України) Gobiidae	Ятір (крок вічка 30 мм і більше) 	Сітка  (крок вічка 65 мм і більше)	Сітка плавна (крок вічка 65 мм і більше)	Ятір (крок вічка 18 мм)	Закидний невід  (волок) (крок вічка у матні – 30 мм, приводах – 36 мм, крилах – 40 мм)	Сітка ставна (крок вічка 28 мм, але не більше 40 мм)	Сітка плавна (крок вічка 28 мм, але не більше 40 мм)	Сітка (крок вічка від 32 мм до 38 мм)			
		Номер договору	Переможець	Дата опублікування договору в електронній системі																													
					Дата	Номер																											
MAX	1	PRD1MAX2024	ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДА­ЛЬНІСТЮ «ХАМСІ», ЄДРПОУ: 42319742	31.01.2024	10/3/2024	PRD1MAX2024-5	4,01	95,998	1,943	7,621	2,286	0,389	76,213	0,079	0,389	0,389	0,157	2,286	1,167	1,715	1,167	0,197	62	61	0	32	0	33	2	20		7	UAFS 0007 UAFS 0008 UAFS 0009 UAFS 0010 UAFK 0019 ЯОД 0878
	1	PRD2MAX2024	ПРИВАТНЕ ПІДПРИЄМСТВО "ДНІСТЕР", ЄДРПОУ: 13896699	12.02.2024	10/7/2024	PRD2MAX2024-2	4,01	95,998	1,943	7,621	2,286	0,389	76,213	0,079	0,389	0,389	0,157	2,286	1,167	1,715	1,167	0,197	62	61	0	32	0	33	2	20		7	ЯОД 2759 ЯОД 3100 ЯОД 0383 ЯОД 2798 ЯОД 1041 ЯОД 2768 ЯОД 3099
	1	PRD3MAX2024	ПРИВАТНЕ ПІДПРИЄМСТВО "РИБОЛОВЕЦЬКИЙ СОЮЗ "УКРРИБЕКСПОРТ", ЄДРПОУ: 36427375	19.02.2024	9/4/2024	PRD3MAX2024-4	4,01	95,998	1,943	7,621	2,286	0,389	76,213	0,079	0,389	0,389	0,157	2,286	1,167	1,715	1,167	0,197	62	61	0	32	0	33	2	20		7	ЯОД 0366 ЯОД 2380 ЯОД 2463 ЯОД 2715 ЯОД 2799
	1	PRD4MAX2024	ПП «КАЛКАН», ЄДРПОУ: 32629278	28.02.2024	3/8/2024	ДД-36/3	4,01	95,998	1,943	7,621	2,286	0,389	76,213	0,079	0,389	0,389	0,157	2,286	1,167	1,715	1,167	0,197	62	61	0	32	0	33	2	20		7	ЯОД 0254 ЯОД 0256 ЯОД 0257 ЯОД 0258 ЯОД 0261 ЯОД 0263
	1	PRD5MAX2024	ПП «КАЛКАН», ЄДРПОУ: 32629278	06.03.2024	3/15/2024	ДД-46/3	4,01	95,998	1,943	7,621	2,286	0,389	76,213	0,079	0,389	0,389	0,157	2,286	1,167	1,715	1,167	0,197	62	61	0	32	0	33	2	20		7	ЯОД 0264 ЯОД 2758 ЯОД 2447 ЯОД 0252 ЯОД 2019
	1	PRD6MAX2024	СІЛЬСЬКОГОСПОДАРСЬКИЙ ВИРОБНИЧИЙ КООПЕРАТИВ "КРАП ЗАРЯ-2", ЄДРПОУ: 37291825	31.01.2024	8/6/2024	PRD6MAX2024-2	4,01	95,998	1,943	7,621	2,286	0,389	76,213	0,079	0,389	0,389	0,157	2,286	1,167	1,715	1,167	0,197	62	61	0	32	0	35	0	20		7	UAFS 0014 ЯОД 2756 ЯОД 2755 ЯОД 3108 ЯОД 2016 ЯОД 5439 ЯОД 0398
	1	PRD7MAX2024	ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ "КРИСТАЛ ПІВДЕНЬ", ЄДРПОУ: 37946314	01.02.2024	18.10.2024	PRD7MAX2024-5	4,01	95,998	1,943	7,621	2,286	0,389	76,213	0,079	0,389	0,389	0,157	2,286	1,167	1,715	1,167	0,197	62	61	0	32	0	35	0	20		7	ЯОД 2510 ЯОД 2513  ЯОД 2703 ЯОД 0405 ЯОД 2787
	1	PRD8MAX2024	МАЛЕ ПІДПРИЄМСТВО "МІКО" З КОЛЕКТИВНОЮ ФОРМОЮ ВЛАСНОСТІ, ЄДРПОУ: 19042194	29.02.2024	4/2/2024	ДД-56/3	4,01	95,998	1,943	7,621	2,286	0,389	76,213	0,079	0,389	0,389	0,157	2,286	1,167	1,715	1,167	0,197	62	61	0	32	0	35	0	20		7	судна перейшли на Дунай ЯОД 2556 ЯОД 2514 ЯОД 2797
	1	PRD9MAX2024	СІЛЬСЬКОГОСПОДАРСЬКИЙ ВИРОБНИЧИЙ КООПЕРАТИВ "КРАП ЗАРЯ-2", ЄДРПОУ: 37291825	31.01.2024	7/31/2024	PRD9MAX2024-2	4,01	95,998	1,943	7,621	2,286	0,389	76,213	0,079	0,389	0,389	0,157	2,286	1,167	1,715	1,167	0,197	62	61	0	32	0	35	0	20		7	ЯОД 2794 ЯОД 0475 ЯОД 2193 ЯОД 0331 ЯОД 2146 ЯОД 2078 ЯОД 5557
Всього	9						36,10	863,982	17,487	68,589	20,574	3,501	685,917	0,711	3,501	3,501	1,413	20,574	10,503	15,435	10,503	1,773	558	549	0	288	0	305	10	180		63	
MACRO	1	PRD1MACRO2024	ПРИВАТНЕ ПІДПРИЕМСТВО "ЯГУАР-2005", ЄДРПОУ: 33826926	19.02.2024	3/5/2024	ДД-30/3	10,07	241,068	4,880	19,138	5,741	0,977	191,383	0,197	0,977	0,977	0,395	5,741	2,931	4,306	2,931	0,494	144	145	0	80	1	80	0	50		16	ЯОД 2350 ЯОД 2351 ЯОД 2352 ЯОД 0404
	1	PRD2MACRO2024	МАЛЕ ПРИВАТНЕ ПІДРИЄМСТВО « ВІТА », ЄДРПОУ: 30460794	21.02.2024	15.11.2024	PRD2MACRO2024-3	10,07	241,068	4,880	19,138	5,741	0,977	191,383	0,197	0,977	0,977	0,395	5,741	2,931	4,306	2,931	0,494	146	145	0	80	1	80	0	50		16	ЯОД 2400 ЯОД 2720 ЯОД 2125 ЯОД 2722 ЯОД 0402 ЯОД 2721 ЯОД 2272 ЯОД 2273 ЯОД 2287 ЯОД 0312 ЯОД 2614 ЯОД 0318 ЯОД 0262 ЯОД 0234 ЯОД 0417 UAFD 0003
